"season","name","last_name","team","Plays","Drives","EPA","EPA_p","Exp","WR","OL","nHC","nTM","lagEPA"
2018,"M.Stafford","Stafford","DET",660,164,0.148214825940499,0.0368291385670331,9,3.99480812641083,18.3291196388262,1,0,48.9308539876204
2018,"C.Newton","Newton","CAR",627,146,0.348488746785458,0.0811472998894368,7,14.2168171557562,29.2560948081264,0,0,22.3027713990139
2018,"A.Dalton","Dalton","CIN",428,103,0.463505980862977,0.111544663618894,7,8.45959367945824,29.2560948081264,0,0,-26.6549527081697
2018,"C.Keenum","Keenum","DEN",692,178,-0.0821008155044339,-0.0211184178609671,6,3.0548532731377,16.0967268623025,0,1,83.5353609340923
2018,"R.Wilson","Wilson","SEA",573,172,0.616188702198108,0.184964147954755,6,21.8539503386005,26.3187358916479,0,0,56.8192888581631
2018,"K.Cousins","Cousins","MIN",721,181,-0.0941477823024033,-0.0236348801619071,6,17.6241534988713,26.6712189616253,0,1,37.1445681708898
2018,"A.Luck","Luck","IND",746,174,0.686579189438656,0.160140454373091,6,23.0288939051919,26.6712189616253,1,0,87.1113958488616
2018,"R.Tannehill","Tannehill","MIA",364,120,-0.539900436000904,-0.177989154725573,6,23.4988713318284,21.0314898419865,0,0,-2.15086184075667
2018,"D.Carr","Carr","LV",655,168,0.0104810428953268,0.00268826749070978,4,17.389164785553,20.9139954853273,1,0,30.3858234693208
2018,"B.Bortles","Bortles","JAX",508,132,-0.0875086940264468,-0.0227384795501791,4,14.2168171557562,5.75722347629797,0,0,63.6070539712371
2018,"J.Winston","Winston","TB",484,107,0.721572000410268,0.159521082735328,3,39.5955981941309,26.9062076749436,0,0,56.2539120570397
2018,"M.Mariota","Mariota","TEN",460,122,0.195969449476756,0.0519745061655744,3,9.7520316027088,31.4884875846501,1,0,22.2791044136841
2018,"C.Wentz","Wentz","PHI",487,118,0.427133087243611,0.103494259332128,2,18.7990970654628,40.7705417607224,0,0,131.393534553487
2018,"D.Prescott","Prescott","DAL",699,165,0.24287628213077,0.0573313112325851,2,9.04706546275395,41.3580135440181,0,0,15.8577773020587
2018,"J.Goff","Goff","LA",673,171,0.714968342970479,0.181663575999928,2,14.6867945823928,34.5433408577878,0,0,101.854046985477
2018,"N.Mullens","Mullens","SF",329,86,0.440430429501874,0.115127711055201,1,9.39954853273138,39.7130925507901,0,1,0
2018,"D.Watson","Watson","HOU",705,180,0.530775043643565,0.135517032419634,1,18.4466139954853,21.501467268623,0,0,61.0669377125838
2018,"M.Trubisky","Trubisky","CHI",568,148,0.734720628468358,0.191441290516403,1,30.548532731377,30.4310383747178,1,0,-41.2503193532901
2018,"P.Mahomes","Mahomes","KC",709,161,1.52964079922528,0.347351436777531,1,14.5693002257336,32.8984198645598,0,0,8.27784497891057
2018,"J.Rosen","Rosen","ARI",488,147,-0.922477972651485,-0.277877586024115,0,23.8513544018059,3.0548532731377,1,1,0
2018,"L.Jackson","Jackson","BAL",348,100,-0.0174120429232302,-0.00500346061012361,0,13.7468397291196,24.4388261851016,0,1,0
2018,"B.Mayfield","Mayfield","CLE",591,159,0.194006403339027,0.0521946161267432,0,20.9139954853273,40.7705417607224,1,1,0
2018,"J.Allen","Allen","BUF",470,127,-0.0160898538951856,-0.00434768392486931,0,3.64232505643341,13.3943566591422,0,1,0
2018,"S.Darnold","Darnold","NYJ",502,149,-0.110273216639218,-0.0327304965721982,0,9.28205417607223,31.7234762979684,0,1,0
2019,"T.Brady","Brady","NE",709,177,0.353170493399623,0.0881680921463093,19,20.9085015940489,21.2403825717322,0,0,115.987120363856
2019,"D.Brees","Brees","NO",419,104,0.912628309292884,0.226523494430692,18,12.1689691817216,46.1314558979809,0,0,190.459932604512
2019,"P.Rivers","Rivers","LAC",682,148,0.530360769951903,0.11509295301009,15,20.3553666312434,26.9929861849097,0,0,135.896046393468
2019,"A.Rodgers","Rodgers","GB",699,169,0.492557833389467,0.119087659288727,14,17.3684378320935,42.9232731137088,1,0,91.4904362465358
